name_en,translation,mid,frequency
Proastiakos,Προαστιακός σιδηρόδρομος Αθήνας,/m/0489wh,206524
November,Νοέμβριος,/m/05cw8,206520
Camera,Φωτογραφική μηχανή,/m/0dv5r,206158
Gas,Αέριο,/m/037xy,205649
S.L. Benfica,Μπενφίκα,/m/02rh_0,205260
Ilioupoli,Ηλιούπολη Αττικής,/m/058v6x,204968
Gamma,Γάμμα,/m/036yp,204343
Nafplio,Ναύπλιο,/m/03v4mr,203817
Rome,Ρώμη,/m/06c62,203711
Arta,Άρτα,/m/07rm47,203257
Sleep,Ύπνος,/m/06xzh,202882
National Basketball Association,National Basketball Association,/m/05jvx,202612
One Piece,One Piece,/m/01_f03,201401
Notis Sfakianakis,Νότης Σφακιανάκης,/m/01my3sw,201098
Corinth,Κόρινθος,/m/01_0y,200976
HTC Corporation,HTC,/m/069b85,200461
Ancient Greek cuisine,Διατροφή στην αρχαία Ελλάδα,/m/0df9bh,199983
Golf,Γκολφ,/m/037hz,199962
Jesus Christ,Ιησούς Χριστός,/m/045m1_,199681
Slavery,Δουλεία,/m/06z49,198899
Souvlaki,Σουβλάκι,/m/01l5h4,198561
Pomegranate juice,Χυμός ροδιού,/m/09_mxk,198446
Beauty,Ομορφιά,/m/01f43,198184
Hellenic Police,Ελληνική Αστυνομία,/m/02q0llt,197962
Death,Θάνατος,/m/0294j,197332
Birthday problem,Παράδοξο των γενεθλίων,/m/0jp97,196339
Communication,Επικοινωνία,/m/01lhf,196042
Rorschach test,Τεστ Ρόρσαχ,/m/01pcft,195297
United States of America,Ηνωμένες Πολιτείες Αμερικής,/m/09c7w0,195165
Kavala,Νομός Καβάλας,/m/0h3slz8,195136
Hellenic Army,Ελληνικός Στρατός Ξηράς,/m/0270r7,194959
2013 Formula One season,Παγκόσμιο πρωτάθλημα Φόρμουλα 1,/m/0hgpm1z,193938
China,Λαϊκή Δημοκρατία της Κίνας,/m/0d05w3,193641
Literature,Λογοτεχνία,/m/04g51,193288
Tripoli,Τρίπολη Αρκαδίας,/m/02fyn4,192951
Euboea,Εύβοια,/m/0kpnl,192919
Justin Bieber,Τζάστιν Μπίμπερ,/m/06w2sn5,192451
Motorway 21,Αυτοκινητόδρομος 21,/m/0n8zm5w,192114
United States Dollar,Δολάριο ΗΠΑ,/m/09nqf,192031
Nation,Έθνος,/m/05gf5,191337
Sun,Ήλιος,/m/06m_p,191301
Hentai,Χεντάι,/m/03p67,191186
Tile,Κεραμικά πλακάκια,/m/021w6f,190653
National Technical University of Athens,Εθνικό Μετσόβιο Πολυτεχνείο,/m/042vm1,190398
Crochet,Πλέξιμο με βελονάκι,/m/0230w,190255
Month,Μήνας,/m/053jb,190240
easyJet,EasyJet,/m/018mxj,189907
Squash,Κολοκυθιά,/m/0dv77,189762
Chef,Σεφ,/m/01pn0r,189632
Football Manager,Football Manager,/m/02cvrk,189535
Eggplant,Μελιτζάνα,/m/0cdk2,189441
Comedy,Κωμωδία,/m/05p553,188966
Macintosh,Macintosh,/m/0zd6,188074
Government Gazette,Εφημερίς της Κυβερνήσεως,/m/02qjw2b,187527
Truck,Φορτηγό,/m/07r04,186811
Fiat Automobiles,Όμιλος Fiat,/m/04n3_w4,186645
The Vampire Diaries - Season 4,The Vampire Diaries,/m/0jzynzg,186458
USB,USB,/m/07wcf,185885
Engineering,Μηχανική,/m/02ky346,185868
Apple,Μήλο,/m/014j1m,185270
Mytilene,Μυτιλήνη,/m/018t8t,184804
Football League,Β΄ Εθνική ποδοσφαίρου ανδρών,/m/0dg6fx,184751
Paper,Χαρτί,/m/0641k,184707
Alpha Bank,Alpha Bank,/m/02jxd1,184480
Capsicum,Πιπεριά,/m/0fjfh,184379
Agia Paraskevi,Αγία Παρασκευή Αττικής,/m/02fygk,184357
Gymnastics,Γυμναστική,/m/0397w,184070
Concert,Συναυλία,/m/01jddz,183960
Marathon,Μαραθώνιος,/m/0d38m,183888
Scrooge McDuck,Σκρουτζ Μακ Ντακ,/m/078m1,182947
Design,Σχεδιασμός,/m/02cwm,182630
Ilion,Ίλιον Αττικής,/m/05hvgj,181777
Architecture,Αρχιτεκτονική,/m/03nfmq,181316
Compact disc,Compact Disc,/m/01www,180991
Ministry,Υπουργείο,/m/03h_j_,180681
Hellenic Parliament,Βουλή των Ελλήνων,/m/07dy5n,180606
Rabbit,Κουνέλι,/m/06mf6,180351
Metal,Μέταλλα,/m/04t7l,180260
Foot,Πόδι,/m/01crvy,179707
Soup,Σούπα,/m/01z1m1x,179636
Delta,Δέλτα,/m/028bq,179593
Romania,Ρουμανία,/m/06c1y,179512
Tea,Τσάι,/m/07clx,179437
Law,Δίκαιο,/m/04gb7,179269
Palaio Faliro,Παλαιό Φάληρο,/m/059q4y,179165
Light-emitting diode,Δίοδος Εκπομπής Φωτός,/m/04myn,179058
Price,Τιμή,/m/01d_1l,178608
The Smurfs,Στρουμφάκια,/m/01nw2sm,178584
Computer Science,Επιστήμη Υπολογιστών,/m/01mkq,178166
FIFA World Cup,Παγκόσμιο Κύπελλο Ποδοσφαίρου,/m/030q7,178088
Sto Para Pente,Στο Παρά 5,/m/0cpnr5,178074
Prophet,Προφήτης,/m/066dv,177625
Chalkidiki,Χαλκιδική,/m/02c9pm,177252
Glasses,Γυαλιά,/m/0jyfg,176969
Greece national basketball team,Εθνική Ελλάδας,/m/08vgm5,176802
Lineage II,Lineage II,/m/04tdsp,176602
Heat,Θερμότητα,/m/03k2v,176165
Fixed-wing aircraft,Αεροπλάνο,/m/0cmf2,176094
Fellatio,Πεολειχία,/m/02p0r36,176087
Paris Saint-Germain F.C.,Παρί Σεν Ζερμέν,/m/01_1kk,175975
Anime,Άνιμε,/m/0jxy,175352
September,Σεπτέμβριος,/m/06vkl,175112
Opel,Opel,/m/05kzl,174936
Mykonos,Μύκονος,/m/02gtbh,174621
Ergotelis F.C.,Γ.Σ. Εργοτέλης,/m/0dg6tr,174477
Latremenoi Mou Geitones,Λατρεμένοι μου γείτονες,/m/03m9npp,174246
PayPal,PayPal,/m/01btsf,173703
Angry Birds,Angry Birds,/m/0nb7ylv,173542
OFI Crete,Όμιλος Φιλάθλων Ηρακλείου,/m/06ylv0,173116
Laser,Λέιζερ,/m/04gh1,172307
"Portes, Achaea",Πόρτες Αχαΐας,/m/02vy7sx,172302
Science,Επιστήμη,/m/06mq7,172001
Semen,Σπέρμα,/m/0744p,171720
Dancing with the Stars,Dancing with the Stars,/m/0bh7kw3,171643
Grand Theft Auto: San Andreas,Grand Theft Auto: San Andreas,/m/02hk9c,171618
Russia,Ρωσία,/m/06bnz,171169
France,Γαλλία,/m/0f8l9c,170319
Antonis Samaras,Αντώνης Σαμαράς,/m/054q0_,170142
Arcadia,Νομός Αρκαδίας,/m/0fyqy,169882
Grammar,Γραμματική,/m/039dj,169801
Nikaia,Νίκαια Αττικής,/m/05d795,169757
Kolonaki,Κολωνάκι,/m/08y0l8,169488
Syrian civil war,Συριακός εμφύλιος πόλεμος,/m/0gg506b,169234
Nature,Φύση,/m/05h0n,168804
Civilization,Πολιτισμός,/m/01vty,168609
Technological Educational Institute of Athens,Τεχνολογικό Εκπαιδευτικό Ίδρυμα Αθήνας,/m/0gyrnqh,168011
Breast cancer,Καρκίνος του μαστού,/m/0j8hd,167896
Beren Saat,Μπερέν Σαάτ,/m/0dljhbc,167863
Russian Language,Ρωσική γλώσσα,/m/06b_j,167811
Kalamaria,Καλαμαριά,/m/072sql,167654
Sofia,Σόφια,/m/0ftjx,167368
Transsexualism,Τρανσέξουαλ,/m/0hpkp,167075
Banana,Μπανάνα,/m/09qck,166681
Affidavit,Υπεύθυνη δήλωση,/m/0jwk,166160
Genethlia,Γενέθλια,/m/0nmqlbr,166090
Island,Νησί,/m/03s0c,165974
Casino,Καζίνο,/m/01lq3,165663
Lawsuit,Αγωγή,/m/0swpq,165315
Yu-Gi-Oh!,Γιου-γκι-ο,/m/01w626,164947
Eudoxus of Cnidus,Εύδοξος ο Κνίδιος,/m/0cytr,164415
God,Θεός,/m/0d05l6,164413
Washing machine,Πλυντήριο ρούχων,/m/0174k2,164384
Value added tax,Φόρος Προστιθέμενης Αξίας,/m/01fsjp,164373
Skin,Δέρμα,/m/06z04,164206
Sheep,Πρόβατο,/m/07bgp,164020
Nikolaos Michaloliakos,Νίκος Μιχαλολιάκος,/m/02793dy,163775
Wiki,Wiki,/m/081gf,163465
Albanian language,Αλβανική γλώσσα,/m/012v8,163454
Police,Αστυνομία,/m/05ws7,163448
Intestine,Έντερο,/m/0gmrs,163119
Euroleague Basketball,Ευρωλίγκα ανδρών,/m/0b740cl,163064
Light,Φως,/m/04k84,163006
Masturbation,Αυνανισμός,/m/051pp,162808
University of Patras,Πανεπιστήμιο Πατρών,/m/02f6tb,162655
Meat,Κρέας,/m/04scj,162570
Moon,Σελήνη,/m/04wv_,162426
Twelve Olympians,Δώδεκα θεοί του Ολύμπου,/m/02rl3m,162309
Pressure,Πίεση,/m/05wnx,161619
FC Barcelona,Μπαρτσελόνα,/m/0hvgt,161600
Red,Κόκκινο,/m/06fvc,161536
Circle,Κύκλος,/m/01vkl,161059
Easter,Πάσχα,/m/02j_4,159625
Platanias F.C.,Α.Ο. Πλατανιά,/m/076xgz3,159346
Air conditioning,Κλιματισμός,/m/025wky1,159334
Kitchen,Κουζίνα,/m/0d4wf,159298
Antonis Remos,Αντώνης Ρέμος,/m/01rb7m8,158996
Karditsa,Νομός Καρδίτσας,/m/02c9nx,158939
Cephalonia,Κεφαλονιά,/m/01f2_c,158929
Verb,Ρήμα,/m/099t2,157976
Java,Java,/m/07sbkfb,157505
Elena Paparizou,Έλενα Παπαρίζου,/m/05412y,157114
Stomach,Στόμαχος,/m/09x8z,157094
House,Κατοικία,/m/03jm5,156912
Exchange rate,Ισοτιμία,/m/018m33,156886
Irakleio,Ηράκλειο Αττικής,/m/05mvmh,156697
Zakynthos,Ζάκυνθος,/m/01t0n2,156126
Berlin,Βερολίνο,/m/0156q,155898
Economics,Οικονομικά,/m/02j62,155195
Funeral,Κηδεία,/m/02_g0,155072
Solar water heating,Ηλιακός θερμοσίφωνας,/m/02mfxy,154508
Sex positions,Στάσεις στο σεξ,/m/04zzsxw,154312
Matter,Ύλη,/m/04yhz,154259
Lentil,Φακή,/m/017kh0,153717
Rock music,Ροκ μουσική,/m/06by7,153496
Soap,Σαπούνι,/m/0fw68,152052
Tiropita,Τυρόπιτα,/m/0c8rp0,151932
Chania,Νομός Χανίων,/m/06_f_0,151892
Loan,Δάνειο,/m/01dnzs,151869
Running,Τρέξιμο,/m/06h7j,151634
Pro Evolution Soccer 2013,Pro Evolution Soccer 2013,/m/0j9kpp9,151458
Weapon,Όπλο,/m/083kb,151406
Piracy,Πειρατεία,/m/0ddct,151375
Taste,Γεύση,/m/0cp_p,150885
Preveza,Πρέβεζα,/m/01s2fm,150630
Piano,Πιάνο,/m/05r5c,150622
Dancing with the Stars,Dancing with the stars,/m/0x2byd9,149818
PlayStation,PlayStation,/m/03c3vj4,149432
Scorpius,Σκορπιός,/m/06pgz,149423
10,10,/m/01dkcp,149360
Spain,Ισπανία,/m/06mkj,149053
Giannis Xaroulis,Γιάννης Χαρούλης,/m/0vsy69f,148947
Rethymno,Νομός Ρεθύμνης,/m/072nzs,148827
Lung cancer,Καρκίνος του πνεύμονα,/m/04p3w,148767
12,12,/m/01dkdz,148486
Nikos Vertis,Νίκος Βέρτης,/m/03nvp6s,148215
Building material,Οικοδομικά υλικά,/m/02cr01,148122
Aegean Sea,Αιγαίο Πέλαγος,/m/0k2q,147017
European anchovy,Γαύρος,/m/0p3h,146733
Athens Concert Hall,Μέγαρο Μουσικής Αθηνών,/m/02r_0xv,146390
Stratus,Στρώματα,/m/016873,146173
Frequency modulation,Διαμόρφωση συχνότητας,/m/02xv5,146063
Olive oil,Ελαιόλαδο,/m/05ml4,146037
Galatsi,Γαλάτσι,/m/04zr56,145507
Letter,Επιστολή,/m/04jjh,145420
Space,Χώρος,/m/06wqb,145325
Gravitation,Βαρύτητα,/m/09lw1,145293
Le petit Nicolas,Ο μικρός Νικόλας,/m/05ztzh,145271
Tobacco,Καπνός,/m/07ly_,145066
Iron,Σίδηρος,/m/025rw19,144437
Learning,Μάθηση,/m/0191f8,144143
Management,Διαχείριση,/m/04_tv,144061
Natural gas,Φυσικό αέριο,/m/05k4k,143940
Walt Disney,Ουώλτ Ντίσνεϋ,/m/081nh,143866
Byzantine Empire,Βυζαντινή Αυτοκρατορία,/m/017cw,143799
Korydallos,Κορυδαλλός Αττικής,/m/02fykb,143569
Nickelodeon,Nickelodeon,/m/0146mv,143354
Hellas Online,Hellas On Line,/m/047dvq_,143040
Hero,Ήρωας,/m/03kll,142922
Lefkada,Λευκάδα,/m/01jpjp,142754
Alimos,Άλιμος,/m/05rpx0,142257
Fruits,Φρούτα,/m/0vsy61t,142244
TrainOSE,ΤΡΑΙΝΟΣΕ,/m/0gg9s9v,142244
Fire,Φωτιά,/m/02_41,142203
Chickpea,Ρεβιθιά,/m/0fqtq,142186
Strap-on dildo,Στραπόν,/m/08b5zr,142145
Panteion University,Πάντειο Πανεπιστήμιο,/m/0cn48m,142060
Voula,Βούλα,/m/0885g6,141376
Eleftherios Venizelos,Ελευθέριος Βενιζέλος,/m/01sf8f,141284
